league_id,league_name,league_url
318,1. Division,https://www.thesportsdb.com/images/media/league/badge/6tc1te1727711684.png
317,1. HNL,https://www.thesportsdb.com/images/media/league/badge/b3svsa1686819371.png/small
20,2. Bundesliga,https://www.thesportsdb.com/images/media/league/badge/hl40981534764789.png/small
2076,3. Liga,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/3._Liga_logo_%282019%29.svg/200px-3._Liga_logo_%282019%29.svg.png
351,A-League,https://www.thesportsdb.com/images/media/league/badge/2u78lm1638459575.png/small
56,Allsvenskan,https://www.thesportsdb.com/images/media/league/badge/denok11707459183.png/small
19,Bundesliga,https://www.thesportsdb.com/images/media/league/badge/teqh1b1679952008.png/small
80,Bundesliga,https://www.thesportsdb.com/images/media/league/badge/vcgyu71686617925.png/small
14,Championship,https://www.thesportsdb.com/images/media/league/badge/ty5a681688770169.png/small
66,Ekstraklasa,https://www.thesportsdb.com/images/media/league/badge/l3jovw1516960585.png/small
41,Eliteserien,https://www.thesportsdb.com/images/media/league/badge/owo80l1512822583.png/small
10,Eredivisie,https://www.thesportsdb.com/images/media/league/badge/5cdsu21725984946.png/small
319,Fortuna Liga,https://www.thesportsdb.com/images/media/league/badge/4v9f4d1725904127.png/small
4,Jupiler Pro League,https://www.thesportsdb.com/images/media/league/badge/mjit7n1593634474.png/small
83,K League 1,https://www.thesportsdb.com/images/media/league/badge/zaw2cj1628430843.png/small
53,La Liga,https://www.thesportsdb.com/images/media/league/badge/ja4it51687628717.png/small
54,La Liga 2,https://www.thesportsdb.com/images/media/league/badge/r7u6821688425700.png/small
60,League One,https://www.thesportsdb.com/images/media/league/badge/afedb31688770443.png/small
61,League Two,https://www.thesportsdb.com/images/media/league/badge/jmb3ms1688770451.png/small
330,Liga 1,https://www.thesportsdb.com/images/media/league/badge/p5zipj1716896694.png/small
336,Liga BetPlay,https://www.thesportsdb.com/images/media/league/badge/sdz1351580833297.png/small
2017,Liga De Futbol Prof,https://www.thesportsdb.com/images/media/league/badge/67roii1614772915.png/small
308,Liga Portugal,https://www.thesportsdb.com/images/media/league/badge/rp1i7e1689641585.png/medium
2018,Liga Pro,https://www.thesportsdb.com/images/media/league/badge/ofjuay1615839163.png/medium
353,Liga Profesional,https://www.thesportsdb.com/images/media/league/badge/1vslha1589960216.png/small
16,Ligue 1,https://www.thesportsdb.com/images/media/league/badge/zcafvy1719637069.png/small
17,Ligue 2,https://www.thesportsdb.com/images/media/league/badge/j7nbg91719637466.png/small
39,Major League Soccer,https://www.thesportsdb.com/images/media/team/badge/pxwesi1689917655.png/small
62,National League,https://www.thesportsdb.com/images/media/league/badge/zzk6iz1638556979.png/small
64,NB I.,https://www.thesportsdb.com/images/media/league/badge/wl72r61560678493.png/small
65,Premier Division,https://www.thesportsdb.com/images/media/league/badge/zouryg1722708407.png/small
13,Premier League,https://www.thesportsdb.com/images/media/league/badge/dsnjpz1679951317.png/small
332,Premier League,https://www.thesportsdb.com/images/media/league/badge/qprvpy1471773025.png/small
347,Premier League,https://www.thesportsdb.com/images/media/league/badge/e59xj11725174551.png/small
50,Premiership,https://www.thesportsdb.com/images/media/league/badge/72d3zc1688333496.png/small
337,Primera División,https://www.thesportsdb.com/images/media/league/badge/k1sbmx1652126723.png/small
335,Primera Division,https://www.thesportsdb.com/images/media/league/badge/6m93cu1697646297.png/small
338,Primera Division,https://www.thesportsdb.com/images/media/league/badge/lofp4c1579203041.png/small
2019,Primera Division,https://www.thesportsdb.com/images/media/league/badge/z07l5a1639062253.png/small
2020,Primera Division,https://www.thesportsdb.com/images/media/league/badge/1ujpwc1580040216.png/small
350,Pro League,https://www.thesportsdb.com/images/media/league/badge/w67i621701772123.png/small
2013,Pro League,https://www.thesportsdb.com/images/media/league/badge/95pes01643234997.png/small
7,Serie A,https://www.thesportsdb.com/images/media/league/badge/ny47lx1701964009.png/small
31,Serie A,https://www.thesportsdb.com/images/media/league/badge/67q3q21679951383.png/small
32,Serie B,https://www.thesportsdb.com/images/media/league/badge/uf5kph1598011132.png/small
63,Super League,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Super_League_Greece_logo.svg/150px-Super_League_Greece_logo.svg.png
189,Super League,https://www.thesportsdb.com/images/media/league/badge/id6q2r1635867584.png/small
2012,Super League,https://www.thesportsdb.com/images/media/league/badge/jqwkag1697648182.png/small
2149,Super League,https://www.thesportsdb.com/images/media/league/badge/33eq631583257659.png/small
68,Super Lig,https://www.thesportsdb.com/images/media/league/badge/h7xx231601671132.png/small
1,Superliga,https://www.thesportsdb.com/images/media/league/badge/28uq381687624585.png/small
322,Veikkausliiga,https://www.thesportsdb.com/images/media/league/badge/1ejmmq1692684379.png/small
